,precision,recall,f1-score,support,modelo,cenario,acc_train,acc_test
accuracy,0.985,0.985,0.985,0.985,MLP,1_5,1.0,0.985
macro avg,0.9849524438938264,0.9848188612228072,0.9848659564573985,2800.0,MLP,1_5,1.0,0.985
weighted avg,0.9850497699883658,0.985,0.985005436692108,2800.0,MLP,1_5,1.0,0.985
10,0.971830985915493,0.9667250437828371,0.9692712906057945,571.0,RandomForest,A_E,1.0,0.9664285714285714
11,0.964349376114082,0.9592198581560284,0.9617777777777777,564.0,RandomForest,A_E,1.0,0.9664285714285714
12,0.9690346083788707,0.9708029197080292,0.9699179580674567,548.0,RandomForest,A_E,1.0,0.9664285714285714
13,0.9636363636363636,0.9760589318600368,0.969807868252516,543.0,RandomForest,A_E,1.0,0.9664285714285714
14,0.9632867132867133,0.9599303135888502,0.9616055846422339,574.0,RandomForest,A_E,1.0,0.9664285714285714
accuracy,0.9664285714285714,0.9664285714285714,0.9664285714285714,0.9664285714285714,RandomForest,A_E,1.0,0.9664285714285714
macro avg,0.9664276094663045,0.9665474134191564,0.9664760958691557,2800.0,RandomForest,A_E,1.0,0.9664285714285714
weighted avg,0.9664359376281534,0.9664285714285714,0.9664210330961786,2800.0,RandomForest,A_E,1.0,0.9664285714285714
10,0.8994515539305301,0.861646234676007,0.8801431127012522,571.0,NaiveBayes,A_E,0.7648214285714285,0.7532142857142857
11,0.7411347517730497,0.37056737588652483,0.4940898345153664,564.0,NaiveBayes,A_E,0.7648214285714285,0.7532142857142857
12,0.7507374631268436,0.9288321167883211,0.8303425774877651,548.0,NaiveBayes,A_E,0.7648214285714285,0.7532142857142857
13,0.7440758293838863,0.8674033149171271,0.8010204081632653,543.0,NaiveBayes,A_E,0.7648214285714285,0.7532142857142857
14,0.6484848484848484,0.7456445993031359,0.6936790923824959,574.0,NaiveBayes,A_E,0.7648214285714285,0.7532142857142857
accuracy,0.7532142857142857,0.7532142857142857,0.7532142857142857,0.7532142857142857,NaiveBayes,A_E,0.7648214285714285,0.7532142857142857
